server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
142.03085708618164,151.38613367080688,129.72268271446228,151.37974882125854,129.64673781394958;138.95287418365479,151.3845956325531,129.62858176231384;141.97871160507202,151.343346118927,129.72268533706665,151.37335801124573,126.50432205200195;141.9631757736206,148.36560368537903
176.16340279579163,185.53215909004211,163.81581568717957;176.03006100654602,185.5309715270996,163.86850953102112,185.51470112800598,163.868506193161,185.50214862823486,163.81256937980652;176.10862493515015,185.50695633888245,163.79231214523315;173.0769603252411,185.5262680053711
213.27538204193115,222.56574296951294,198.00563097000122,222.52951502799988,197.93433809280396;207.21384286880493,222.55990862846375,197.93120217323303;210.2638771533966,222.53085041046143,197.96936750411987;213.21859574317932,222.56459212303162,206.96649765968323,219.51508355140686
247.24132251739502,256.4863591194153,234.95317554473877,256.4528183937073,234.8462164402008;247.1465244293213,256.47499561309814,237.92027831077576,253.47926664352417,234.91553115844727;247.18132257461548,256.4851567745209,234.86429500579834;244.16314578056335,256.4472954273224
281.1536285877228,290.450541973114,268.87634015083313,287.3784091472626,268.74007511138916;281.0757462978363,290.3983175754547,268.7301390171051;281.0233528614044,287.43840408325195,268.87633752822876,290.4445686340332,268.8223102092743;281.0877661705017,290.44939708709717
315.1404137611389,324.41875529289246,302.8854458332062,324.41207122802734,302.84541034698486;312.08882331848145,324.3703103065491,305.87798285484314,324.4176208972931,302.8491702079773;315.0534129142761,321.36768913269043,299.8217866420746;315.0913076400757,321.39616656303406
352.00047850608826,364.30670046806335,339.6852385997772;348.9499661922455,361.3011968135834,339.8411455154419,361.29732298851013,336.7529718875885;351.94566011428833,364.30548548698425,339.8456871509552,361.29286193847656,336.748042345047;348.95331358909607,361.2187559604645
389.00651836395264,398.28373193740845,376.68660712242126;388.95608472824097,398.28256702423096,376.627813577652;388.9428837299347,398.27817940711975,379.6914508342743,398.2727744579315,379.6732270717621,398.2633421421051,376.70130348205566;385.9664092063904,398.21112418174744
428.98462677001953,438.31468534469604,410.6062557697296;428.9126658439636,438.22746324539185,413.6744656562805;428.9297688007355,435.3141634464264,413.7270498275757,435.3151001930237,413.72704672813416,438.31394386291504,410.66394805908203;422.919540643692,438.3129975795746
463.1632194519043,472.47808623313904,450.84053564071655;460.08249163627625,472.4005868434906,450.8821575641632,472.47269797325134,450.8821609020233,472.47691893577576,450.79540038108826;463.0854687690735,472.40524792671204,447.7120862007141;463.1018531322479,472.46833515167236
497.1730806827545,506.51405119895935,484.86887192726135,506.50869154930115,484.81500601768494;497.1154110431671,506.4499454498291,484.86887526512146,506.51121973991394,484.76916790008545;497.11910605430603,506.4510142803192,481.77245450019836;497.04705452919006,506.51327109336853
531.1557531356812,540.4719896316528,518.7902474403381;531.0630168914795,537.459774017334,518.8676693439484,540.4707911014557,518.867672920227,540.4653978347778,518.794450044632;528.0780901908875,540.452782869339,515.8265616893768;531.1021599769592,537.3841099739075
565.295835018158,574.6140410900116,552.8736670017242;565.2062511444092,574.6071960926056,552.7991824150085;565.1621270179749,574.6130428314209,552.9549918174744,574.6083116531372,552.9549889564514,574.61034989357,552.9197416305542;562.1725885868073,574.6091094017029
599.3788757324219,608.6679837703705,586.9667489528656;599.3156492710114,608.66055560112,586.9974966049194,605.6302697658539,586.9357862472534;599.2875154018402,608.6669623851776,589.8575632572174,608.6639833450317,583.9406735897064;599.3189609050751,605.5959358215332
636.4013857841492,645.7264702320099,620.9320833683014;636.3353581428528,645.7147331237793,620.9170007705688;636.3320412635803,645.7252819538116,621.0269920825958,645.6456065177917,620.9706284999847;633.2662751674652,645.7204649448395,621.0269949436188,642.7088139057159
670.5328125953674,679.9248456954956,658.0896804332733;670.4713037014008,679.9141912460327,661.0851035118103,679.776394367218,661.1219508647919,679.9192037582397,658.1081254482269;670.4554796218872,676.9079954624176,657.9995059967041;667.3610591888428,679.9236800670624
707.6780769824982,717.0115058422089,695.3012683391571;704.6139554977417,717.0056984424591,695.3726444244385,713.9890620708466,692.2212119102478;707.6250848770142,716.9941983222961,695.372641324997,717.0103995800018,692.2517507076263;704.6098244190216,717.0003933906555
744.9288930892944,754.2666909694672,729.5775423049927;741.8549394607544,754.1690430641174,729.6287605762482,754.2652218341827,729.6287572383881,754.264532327652,729.5659000873566;744.8742113113403,754.2659368515015,726.43998670578;741.8423907756805,751.2531416416168
779.1360008716583,788.4506883621216,766.7494933605194;779.0701012611389,788.4442875385284,766.7628393173218;779.0743465423584,788.4494302272797,766.8075339794159,788.4062702655792,769.8132452964783,788.4346752166748,766.6202948093414;776.0080637931824,788.4399847984314
813.101156949997,822.4747133255005,800.7830386161804;813.0245237350464,822.4681165218353,800.8170909881592,822.3791108131409,800.7279849052429;813.0056557655334,822.4735298156738,803.8273832798004,822.3763635158539,797.7704093456268;813.0375907421112,819.3719184398651
847.2999596595764,856.6238813400269,834.8928959369659;847.2469792366028,856.6231441497803,834.9847605228424,853.6086225509644,834.9178931713104;847.229070186615,856.5695836544037,834.9847574234009,856.6191461086273,834.9429090023041;844.2139399051666,856.6130480766296
881.4078750610352,890.7537202835083,869.026709318161;881.3540785312653,890.7525882720947,872.0179834365845,890.7480518817902,871.99232172966,890.7378163337708,869.0008292198181;881.3402659893036,890.7432160377502,868.918178319931;878.2206635475159,890.6604857444763
915.5179271697998,927.8162610530853,903.2005741596222,924.8075408935547,903.0948920249939;915.4530344009399,924.8186328411102,903.1542060375214;915.4574058055878,927.8150799274445,906.0356183052063,924.8137707710266,900.022837638855;915.466151714325,921.7984182834625
955.6085860729218,964.9063324928284,943.321793794632,964.84770154953,943.2668561935425;952.5347800254822,964.8427639007568,943.3217968940735,961.8929560184479,943.0733222961426;955.5523819923401,964.9001221656799,940.2448348999023;952.5064420700073,964.9051861763
992.6476700305939,1001.9533493518829,977.2889931201935;992.5821073055267,1001.9470982551575,977.3194761276245;989.5996463298798,1001.9417991638184,980.1925926208496,1001.9348227977753,977.374018907547,1001.9521961212158,977.3031203746796;989.589702129364,998.93221616745
1026.8163757324219,1036.1204466819763,1014.4991958141327;1023.743483543396,1036.1150999069214,1014.4991989135742;1026.7640659809113,1036.1192467212677,1014.5432574748993,1036.1036179065704,1014.2694511413574;1023.7176403999329,1036.1095304489136,1014.5432646274567,1033.045548915863
1063.9090113639832,1073.1829624176025,1051.5369610786438,1070.1781175136566,1051.5335929393768,1070.1766364574432,1048.4627957344055;1060.7383875846863,1073.1036298274994,1048.4746732711792;1063.7795741558075,1073.1051046848297,1048.382090806961;1060.74764418602,1073.1819565296173
1097.8895223140717,1107.143963098526,1088.608259677887,1107.106213569641,1088.6046421527863,1104.1355135440826,1085.5265171527863;1097.8003492355347,1107.1114337444305,1085.5228579044342;1097.836501121521,1107.1161448955536,1085.5741291046143;1094.8256323337555,1107.1427581310272
1131.8734819889069,1141.143987417221,1119.397840976715;1131.8167698383331,1138.1428155899048,1122.5596046447754,1141.1432008743286,1119.7203917503357,1141.0990769863129,1119.409860610962;1131.787209033966,1138.1400759220123,1116.4546802043915;1131.8019843101501,1138.1411833763123
1168.8108975887299,1178.0844142436981,1153.5211806297302;1168.7341248989105,1178.0760734081268,1153.462581396103;1165.760820388794,1178.0700113773346,1156.5563819408417,1175.0617182254791,1156.4959998130798,1178.0091762542725,1153.5262179374695;1162.754906654358,1178.0832800865173
1202.7904305458069,1212.2165582180023,1190.3508069515228;1202.7036790847778,1212.2051801681519,1190.4555249214172;1202.7336416244507,1212.122073173523,1193.3972191810608,1212.21542263031,1190.4880878925323,1212.2109458446503,1190.4214239120483;1199.7100019454956,1212.1996130943298
1239.9436407089233,1249.2070770263672,1224.6235179901123;1236.886403799057,1249.1614127159119,1224.6873462200165,1249.1670813560486,1224.5000224113464;1239.8927836418152,1249.1717987060547,1224.6235144138336;1236.8584892749786,1249.2006912231445,1224.6873433589935,1249.2059211730957
1276.8262062072754,1289.143758058548,1261.471624135971;1276.7624096870422,1286.0568392276764,1264.467318058014;1276.7348165512085,1283.1367392539978,1264.6294798851013,1286.1363625526428,1264.6370604038239,1289.1429913043976,1261.5312957763672;1276.7658796310425,1286.081437587738
1313.828947544098,1326.127713918686,1301.5077123641968;1313.7464952468872,1320.0560359954834,1301.4691753387451;1313.7581374645233,1323.1180136203766,1301.549638748169,1326.1265006065369,1304.5015280246735,1323.0564785003662,1301.5196931362152;1313.7760422229767,1320.115220785141
1353.8789591789246,1363.213327407837,1338.522777080536;1353.8061935901642,1363.2121844291687,1338.5194835662842;1350.798360824585,1363.2107644081116,1341.4074442386627,1363.1620354652405,1338.5520751476288,1360.1472673416138,1338.466612815857;1347.798199892044,1363.2095830440521
1388.191647052765,1397.5005671977997,1375.7659268379211;1388.1379795074463,1394.4907310009003,1378.7649364471436,1397.4994134902954,1375.726718902588;1385.0398724079132,1397.4551839828491,1375.7994906902313,1397.4358093738556,1372.6906468868256;1388.1332368850708,1394.4935829639435
1422.2424852848053,1437.5465710163116,1412.872581243515,1431.5436716079712,1409.8562240600586;1422.1886780261993,1428.532742023468,1409.9710552692413,1437.5453894138336,1409.89076089859;1422.188681602478,1428.5084202289581,1409.9333908557892;1419.18869972229,1431.48610496521
1465.2785685062408,1480.5890064239502,1449.9351215362549;1462.155972957611,1471.573860168457,1449.9761984348297,1474.5018792152405,1453.0609936714172,1471.5747895240784,1449.8934156894684;1465.19486951828,1474.506918668747,1449.935124874115;1462.1869111061096,1480.5878248214722
1505.4656677246094,1514.815951347351,1493.0668544769287;1505.4061300754547,1514.8099722862244,1492.9685764312744;1505.4102790355682,1514.8048849105835,1493.1556181907654,1514.718101978302,1493.155615568161,1514.81476187706,1493.115246295929;1502.368651151657,1514.7990229129791
1539.5678396224976,1548.906266450882,1527.1970753669739,1548.867223739624,1527.1179523468018;1536.378082036972,1548.9050447940826,1527.1970784664154,1548.894998550415,1527.1375105381012;1539.4956295490265,1548.8401107788086,1524.1713426113129;1539.4956243038177,1548.900776386261
1573.6627926826477,1582.9980161190033,1561.3012824058533;1573.569839000702,1582.9056911468506,1561.3512961864471,1582.9968326091766,1561.236732006073;1573.6003766059875,1579.9912569522858,1561.3512995243073,1582.9871044158936,1561.2837238311768;1573.6038296222687,1579.9886746406555
1607.760327577591,1617.0860040187836,1595.439724445343;1604.7018353939056,1617.047076702118,1595.4932577610016,1617.0848224163055,1595.412791967392;1607.7035927772522,1614.0326299667358,1595.4932548999786,1617.0800573825836,1595.3955326080322;1607.69101023674,1617.041546344757
1641.8582694530487,1651.209985256195,1629.5122437477112;1641.7858040332794,1651.192820072174,1629.5521836280823,1651.208801984787,1629.5521800518036,1651.2029666900635,1629.442437171936;1641.7328553199768,1648.1947848796844,1629.4460546970367;1641.7800319194794,1648.1977245807648
1679.0670788288116,1688.4115488529205,1660.6041967868805;1678.986533164978,1688.4103813171387,1663.7089762687683;1679.0043880939484,1688.4039039611816,1663.775229692459,1685.3961279392242,1663.7263898849487;1675.9579014778137,1688.3272309303284,1663.7752268314362,1685.3974237442017
1716.1789591312408,1725.5014743804932,1703.832956314087,1725.4951105117798,1703.81658577919,1722.4773955345154,1700.784428358078;1716.110235452652,1725.4901399612427,1700.7525718212128;1710.0767276287079,1725.5002868175507,1700.768298149109;1710.0961284637451,1725.4839453697205
1750.2386968135834,1759.5845115184784,1737.9448192119598,1759.5809779167175,1737.7995631694794;1750.1577472686768,1756.5715928077698,1737.9448220729828,1759.5837514400482,1737.8732244968414;1750.174678325653,1759.5764110088348,1734.8669159412384;1750.140130996704,1756.5686779022217
1787.3859157562256,1796.6705236434937,1768.9775233268738;1784.347793340683,1796.6083512306213,1772.1086039543152,1796.6638777256012,1772.074699163437;1787.3341941833496,1796.669319152832,1772.0746955871582;1784.352332830429,1793.6022155284882,1772.1086003780365,1793.6581010818481
1821.5911753177643,1830.8614344596863,1812.056759595871,1830.8595006465912,1809.1255025863647;1818.4190709590912,1830.822607755661,1809.1518239974976;1821.524575471878,1830.8255152702332,1809.0350794792175;1821.5245666503906,1830.8243067264557,1809.1896364688873,1830.8606860637665
1855.5602531433105,1864.8957879543304,1846.2091767787933,1864.8877685070038,1843.1779112815857;1855.415872335434,1864.8228764533997,1846.2272441387177,1864.89502286911,1843.1323976516724;1855.476026058197,1864.8938822746277,1840.1299288272858;1855.4948196411133,1861.815517425537
1889.6866869926453,1899.0223307609558,1877.226312637329;1889.618736743927,1896.0187122821808,1880.3023436069489,1898.9892427921295,1877.3029386997223;1889.614645242691,1896.0122964382172,1877.337569952011,1895.9812440872192,1877.22212433815;1886.526643037796,1899.021148443222
